codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2823,Concello de Boiro,Campo de fútbol municipal Vista Alegre (vestuario del árbitro campo novo),BOIRO,A CORUÑA,42.6502,-8.8699,En instalaciones deportivas
2824,Concello de Boiro,Campo de fútbol municipal de Valiño (vestuario del árbitro),BOIRO,A CORUÑA,42.6188,-8.8694,En instalaciones deportivas
2825,Concello de Boiro,Parque Empresarial de Espiñeira,BOIRO,A CORUÑA,42.6594,-8.8811,Protección civil (no amb.)
2826,Recreo Cultural de A Estrada,Asociación Recreo Cultural de A Estrada (junto a la cafetería),"ESTRADA, A",PONTEVEDRA,42.7016,-8.5044,Otros
2827,COMPLEJO COMERCIAL MARINEDA CITY,"CENTRO COMERCIAL MARINEDA CITY (PLANTA BAJA ENTRADA, ESCALERAS PRINCIPALES)","CORUÑA, A",A CORUÑA,43.3436,-8.4272,Otros
2828,COMPLEJO COMERCIAL MARINEDA CITY,CENTRO COMERCIAL MARINEDA CITY (PLANTA BAJA AL FONDO DE PASILLOS CERCA CORTE INGLÉS),"CORUÑA, A",A CORUÑA,43.3449,-8.4286,Otros
2829,Escuela de artes marciales y fitness Kempo Barbanza,Escuela de artes marciales y fitness Kempo Barbanza,RIBEIRA,A CORUÑA,42.5543,-8.9961,En empresa privada
2830,"ACCIONA CONSTRUCCIÓN, S.A.","Acciona Construcción, S.A. (oficinas)",MELIDE,A CORUÑA,42.9045,-8.0178,En empresa privada
2831,INDITEX Zara Logística (Arteixo),EDIFICIO INDITEX - SERVICIO MÉDICO,ARTEIXO,A CORUÑA,43.3138,-8.5049,En empresa privada
2832,Cruz Roja Española,OFICINA CRUZ ROJA NOYA,NOIA,A CORUÑA,42.7794,-8.8933,Cruz roja (no amb.)
2833,Club deportivo Natural Sport Videlgi,Club deportivo Natural Sport Videlgi (sala de fitness),RIBEIRA,A CORUÑA,42.5584,-8.9944,En empresa privada
2834,Cruz Roja Española,OFICINA CRUZ ROJA A CORUÑA,"CORUÑA, A",A CORUÑA,43.3469,-8.4144,Cruz roja (no amb.)
2835,RESIDENCIA BALLESOL,RESIDENCIA BALLESOL VIGO (VESTÍTUBO ACCESO A COMEDOR),VIGO,PONTEVEDRA,42.2336,-8.7177,En empresa privada
2836,DENTALKIDS SLP,"CLÍNICA DENTAL MIS PRIMEROS DIENTES OURENSE (GABINETE MÉDICO, PLANTA BAJA)",OURENSE,OURENSE,42.3402,-7.8668,En empresa privada
2837,"Segursystem Europa, SL",Casa do Cabildo,SANTIAGO,A CORUÑA,42.8800,-8.5444,Administraciones o instituciones públicas
2838,Concello de A Coruña,Polideportivo Los Rosales (planta baja-frente a las pistas de entrenamiento),"CORUÑA, A",A CORUÑA,43.3763,-8.4301,En instalaciones deportivas
2839,COMPLEJO COMERCIAL MARINEDA CITY,CENTRO COMERCIAL MARINEDA CITY (PLANTA PRIMERA),"CORUÑA, A",A CORUÑA,43.3441,-8.4269,Otros
2840,COMPLEJO COMERCIAL MARINEDA CITY,CENTRO COMERCIAL MARINEDA CITY (PLANTA SEGUNDA),"CORUÑA, A",A CORUÑA,43.3438,-8.4269,Otros
2842,CALDARIA TERMAL SL,HOTEL BALNEARIO CALDARIA LAIAS (PLANTA PRINCIPAL PARED ACCESO CAFETERÍA),CENLLE,OURENSE,42.3260,-8.0290,Otros
2843,Concello de A Coruña,Instalaciones Deportivas de Riazor (pasillo entrada junto vestuarios),"CORUÑA, A",A CORUÑA,43.3686,-8.4177,En instalaciones deportivas
2844,BOX 001 OURENSE SL,RECEPCIÓN DEL GIMNASIO (NAVE DE 1.200 M),OURENSE,OURENSE,42.3535,-7.8636,Otros
2845,Colegio Miraflores,Colegio Miraflores (entrada),PEREIRO DE AGUIAR,OURENSE,42.3300,-7.8142,En centros docentes
2846,Concello de A Coruña,Polideportivo Municipal El Ventorrillo (acceso a pistas),"CORUÑA, A",A CORUÑA,43.3604,-8.4280,En instalaciones deportivas
2847,CONDUCTORES ELÉCTRICOS REVI SA,"CONDUCTORES ELÉCTRICOS REVI SA (NAVE PRINCIPAL, ZONA PRODUCCIÓN, ESCALERA ACCESO A VESTUARIOS)",OURENSE,OURENSE,42.3562,-7.9081,Otros
2848,ALOJAMIENTOS RURALES VALLE VERDE (RESTAURANTE PALLEIRA),"RESTAURANTE A PALLEIRA (ENTRADA, A MANO DERECHA)",OURENSE,OURENSE,42.3420,-7.8569,Otros
2849,PLÁSTICOS REVI TUBOS SA,"PLÁSTICOS REVI TUBOS SA (ZONA PRODUCCIÓN, AL LADO ESCALERA ACCESO A VESTUARIOS PERSONAL)",COLES,OURENSE,42.3764,-7.8368,Otros
2863,Concello de A Coruña,Campo de fútbol San Pedro de Visma (pasillo central de vestuarios),"CORUÑA, A",A CORUÑA,43.3835,-8.4036,En instalaciones deportivas
2864,"AMBULANCIAS DO ATLÁNTICO, SLU",ALMACÉN AMBULANCIAS ATLÁNTICO MOS,MOS,PONTEVEDRA,42.2099,-8.6469,Otros
2865,Concello de A Coruña,Pabellón de Labañou (acceso pista central),"CORUÑA, A",A CORUÑA,43.3669,-8.4331,En instalaciones deportivas
2866,Concello de A Coruña,Casa del Agua (sala halterofilia),"CORUÑA, A",A CORUÑA,43.3687,-8.4196,En instalaciones deportivas
